,g_mag,r_mag,int_color,num_rgb,num_cheb,num_agb,num_eagb,num_tpagb
272,22.131831858433827,21.616366458004592,0.5154654004292377,1017,115,16,14,2
273,22.15495013665814,21.669399671136354,0.48555046552178405,946,112,23,22,1
274,22.30865198599474,21.881663459405992,0.4269885265887441,948,108,11,11,0
275,22.243400552410858,21.73748009753151,0.5059204548793479,925,90,10,8,2
276,22.259858004130336,21.795323080187217,0.4645349239431191,934,104,11,11,0
277,22.178764487917665,21.67552870251381,0.5032357854038573,946,96,19,16,3
278,22.186644757060236,21.705933440455645,0.4807113166045852,962,111,18,16,2
279,22.235523203372555,21.7570418895154,0.47848131385715725,940,99,13,13,0
280,22.19582351650042,21.698411897889265,0.4974116186111528,1013,103,19,15,4
281,22.221219324305874,21.731277254648013,0.48994206965786147,955,92,18,16,2
282,22.189558117123482,21.69450960267461,0.4950485144488763,960,105,15,13,2
283,22.19339365638229,21.71094619363361,0.4824474627486818,1007,108,17,15,2
284,22.233916754632173,21.775049127251343,0.4588676273808256,946,118,15,14,1
285,22.259317225221245,21.791097210088935,0.4682200151323073,889,104,14,13,1
286,22.201851461288324,21.737849457657852,0.46400200363047406,963,119,14,13,1
287,22.134427957947725,21.650657582702117,0.48377037524560734,974,123,16,13,3
288,22.114922297040565,21.59513446863659,0.519787828403976,933,113,26,22,4
289,22.151271879690654,21.64680832809563,0.5044635515950245,966,107,17,14,3
290,22.21342104441905,21.721575865998783,0.49184517842026454,917,108,16,16,0
291,22.151830749119704,21.63260763824826,0.5192231108714501,978,102,13,10,3
292,22.25687565613037,21.777419732637778,0.4794559234925946,879,95,20,17,3
293,22.17034539234143,21.6899456653845,0.4803997269569319,959,113,16,16,0
294,22.19978038736091,21.7161287527864,0.48365163457451,919,115,15,13,2
295,22.140458528528924,21.626406526954813,0.514052001574111,1021,110,12,11,1
296,22.333860777736156,21.880363807089633,0.4534969706465204,954,97,11,11,0
297,22.22369573623617,21.780733263025503,0.44296247321067217,937,128,18,17,1
298,22.224643243936963,21.771995681318188,0.4526475626187718,915,119,11,11,0
299,22.1868335426298,21.748703853299766,0.4381296893300338,986,130,17,16,1
300,22.19703601078393,21.69681248896209,0.5002235218218357,884,111,11,7,4
301,22.18520532171315,21.703610527944583,0.4815947937685647,982,100,19,18,1
302,22.28746831306374,21.83543910334228,0.4520292097214563,946,105,10,10,0
303,22.24633752363424,21.784077242692828,0.4622602809414107,927,99,11,11,0
304,22.208906641920745,21.713932985901184,0.4949736560195581,964,104,14,13,1
305,22.22996718030455,21.738628102020808,0.491339078283745,919,99,16,15,1
306,22.239906811546533,21.777908084442068,0.461998727104468,969,94,17,16,1
307,22.22733013251704,21.747436289313438,0.4798938432036027,979,95,8,6,2
308,22.152344013003187,21.641356784207034,0.5109872287961575,955,109,16,14,2
309,22.179981081204122,21.701738698586155,0.4782423826179667,972,109,23,21,2
310,22.21155166461765,21.745370024575266,0.46618164004238916,974,119,12,12,0
311,22.25106656186852,21.813998272419134,0.4370682894493821,944,111,13,12,1
312,22.2241918439032,21.737777397199398,0.48641444670379996,925,104,16,13,3
313,22.175575413443752,21.67011718947552,0.505458223968233,1000,99,14,11,3
314,22.1635279515062,21.650617638931237,0.512910312574967,963,108,10,9,1
315,22.121966376898484,21.58312831376239,0.5388380631360944,967,95,16,14,2
316,22.15181938062411,21.64234941179281,0.5094699688313006,972,102,15,15,0
317,22.201626978672543,21.74274279451115,0.4588841841613938,891,123,21,21,0
318,22.226078851071726,21.756780544590807,0.46929830648091664,915,118,10,8,2
319,22.135306383074997,21.623963442416642,0.5113429406583568,978,96,14,12,2
320,22.242900677782732,21.778179054657258,0.46472162312547627,980,111,8,7,1
321,22.150058268927534,21.63711813700628,0.5129401319212535,1003,101,18,15,3
322,22.132629366561325,21.64921759354511,0.48341177301621574,993,127,17,15,2
323,22.221502208686914,21.75028830358485,0.4712139051020687,983,109,21,19,2
324,22.137628050570825,21.647871365525823,0.48975668504500164,894,122,22,20,2
325,22.3044861131892,21.894445080739132,0.41004103245006923,900,120,17,17,0
326,22.202243417301734,21.721099746488072,0.4811436708136602,938,122,12,12,0
327,22.271531827188326,21.784080503253357,0.48745132393496926,957,92,17,15,2
328,22.28656268865896,21.81644888811249,0.47011380054647217,912,94,10,8,2
329,22.237268237864626,21.78565662410421,0.4516116137604181,949,113,16,16,0
330,22.251522182802326,21.834403658735614,0.41711852406671623,929,129,11,11,0
331,22.153336470116543,21.659814787125523,0.493521682991018,943,122,25,24,1
332,22.20314515318932,21.74516156976872,0.4579835834205971,983,119,13,12,1
333,22.195437882074746,21.73840959620472,0.45702828587002664,994,119,16,16,0
334,22.21102383845722,21.726147034272522,0.4848768041846948,977,92,12,12,0
335,22.17680459237998,21.683144832172104,0.49365976020787605,959,104,18,17,1
336,22.235154796136047,21.7693337965172,0.46582099961884904,956,109,12,9,3
337,22.249635825957867,21.790757495924126,0.45887833003373835,906,127,12,12,0
338,22.13728153757598,21.66635553654618,0.4709260010297993,1038,132,15,14,1
339,22.22785995792603,21.745966324882065,0.4818936330439656,898,108,9,8,1
340,22.191925057076936,21.744444008790104,0.44748104828683455,971,124,10,10,0
341,22.191950458861175,21.708133872546217,0.48381658631496116,938,112,13,11,2
342,22.220443874021623,21.768731157012947,0.4517127170086726,973,123,5,5,0
343,22.132098219150002,21.634035963489367,0.49806225566063095,1035,118,15,13,2
344,22.177776783287683,21.73163600328727,0.4461407800004126,1002,134,20,20,0
345,22.203822194680562,21.727887304050974,0.4759348906295874,961,103,16,14,2
346,22.20757446323828,21.72275457888813,0.4848198843501456,933,124,14,11,3
347,22.171463382352634,21.66044370989844,0.5110196724541949,940,111,15,13,2
348,22.127530013308462,21.617670979432884,0.5098590338755795,966,115,14,12,2
349,22.248912388684893,21.78207954356944,0.46683284511545386,874,120,19,16,3
350,22.296278976331575,21.87162359406257,0.42465538226900185,913,113,12,12,0
351,22.244541225501994,21.739796463813093,0.5047447616888994,947,105,13,11,2
352,22.247525263935888,21.754127706944427,0.4933975569914626,951,104,14,11,3
353,22.240160508303607,21.787784377340515,0.45237613096308776,974,105,23,21,2
354,22.11891769601817,21.61357768941319,0.5053400066049802,949,120,18,17,1
355,22.339393100969012,21.923326017713656,0.4160670832553595,947,102,11,10,1
356,22.188933645772927,21.681602790431857,0.5073308553410742,939,112,13,11,2
357,22.320203930483565,21.852249143787304,0.4679547866962607,986,83,9,8,1
358,22.215085667934694,21.7513918226446,0.46369384529009045,933,104,22,20,2
359,22.195489674950302,21.727366812553136,0.4681228623971668,1035,107,13,11,2
360,22.145822616068713,21.661555521504475,0.4842670945642388,976,119,17,15,2
361,22.209778777676004,21.714094658693238,0.49568411898276665,942,94,24,20,4
362,22.24292989147102,21.775927095799897,0.46700279567112507,920,94,20,19,1
363,22.244141932006283,21.77761426354076,0.46652766846552346,927,106,17,16,1
364,22.20166356858102,21.71981005951296,0.48185350906806157,1012,116,20,18,2
365,22.17590000419067,21.667433612845773,0.5084663913448976,899,114,19,16,3
366,22.247531875906,21.76371102496233,0.4838208509436676,922,94,15,14,1
367,22.223363489483624,21.761982258223696,0.46138123125993125,929,100,18,18,0
368,22.19075601390047,21.72078232103134,0.46997369286912993,998,108,22,20,2
369,22.20090556564003,21.69584667269835,0.505058892941681,963,94,16,15,1
370,22.22886698097634,21.743499580818874,0.4853674001574621,929,90,15,14,1
371,22.258833302445144,21.792982156140287,0.46585114630485946,936,109,16,15,1
372,22.21402895563363,21.755684583289288,0.45834437234434366,974,108,10,10,0
373,22.30590602560887,21.882259566552378,0.4236464590564882,863,122,11,10,1
374,22.134646731335895,21.656451529828573,0.47819520150732403,956,132,25,21,4
375,22.250302359194745,21.78251271936325,0.46778963983149563,933,89,19,19,0
376,22.220437790851562,21.789116784927277,0.43132100592428846,980,122,18,17,1
377,22.11467975544389,21.60693895784728,0.5077407975966093,977,123,10,10,0
378,22.144501632078295,21.672437597310527,0.47206403476777076,986,118,20,19,1
379,22.252851849586527,21.772365101094028,0.4804867484925005,960,104,14,12,2
380,22.16548225658526,21.65647917703586,0.5090030795494025,964,97,22,19,3
381,22.19051867328652,21.75776243392329,0.4327562393632301,1019,144,15,14,1
382,22.18646524323644,21.713210272402563,0.4732549708338789,944,112,14,11,3
383,22.196158034008697,21.726868455259734,0.4692895787489595,1000,116,14,14,0
384,22.14633609837469,21.66521941418428,0.48111668419040876,994,107,24,20,4
385,22.287989159943447,21.82258926682179,0.4653998931216561,939,99,10,10,0
386,22.143134724488903,21.65906343172116,0.4840712927677421,1001,108,23,23,0
387,22.253577449431408,21.779661070290402,0.47391637914100176,926,108,16,14,2
388,22.191923355840196,21.686129091757245,0.5057942640829559,948,101,23,21,2
389,22.18799637408504,21.723840112243693,0.4641562618413462,961,128,8,6,2
390,22.2119261268729,21.74684147719079,0.46508464968210933,958,123,13,12,1
391,22.158762239287476,21.70434776922999,0.45441447005748453,965,130,20,20,0
392,22.166562749629797,21.696013136334372,0.47054961329542977,939,117,20,17,3
393,22.19910482219651,21.73753066740881,0.4615741547876995,988,113,14,13,1
394,22.162575507636824,21.666725123684202,0.4958503839526198,958,117,21,18,3
395,22.24079034348987,21.799268291779303,0.44152205171056946,940,116,10,10,0
396,22.250750409211477,21.771163979978866,0.4795864292326123,941,99,11,11,0
397,22.184177893114242,21.720402858961016,0.4637750341532282,956,125,19,17,2
398,22.223651753891463,21.760360690548254,0.4632910633432138,927,113,16,15,1
399,22.194344138158048,21.720292050816134,0.47405208734191684,929,117,11,11,0
400,22.219185410159376,21.7473038234516,0.47188158670777536,938,118,16,15,1
401,22.153822572525918,21.63839610111573,0.515426471410184,962,102,17,15,2
402,22.182220303811487,21.708754182200224,0.4734661216112648,952,125,13,13,0
403,22.177424398593345,21.705021103952248,0.4724032946411006,969,114,18,17,1
404,22.281697654878023,21.812444926704696,0.46925272817332664,941,87,12,11,1
405,22.190951010591405,21.700293375723177,0.49065763486823166,984,100,23,20,3
406,22.236910037573246,21.777773807507028,0.45913623006621773,964,98,20,18,2
407,22.1728281561351,21.6983072461533,0.4745209099818054,962,122,14,13,1
408,22.211898915224,21.746706703689654,0.46519221153434953,978,114,17,14,3
409,22.079697324513887,21.602120133217817,0.47757719129606885,982,134,22,21,1
410,22.18322060983772,21.7142820293042,0.4689385805335172,933,106,20,20,0
411,22.206590257465745,21.743868385137684,0.46272187232806156,974,131,15,13,2
412,22.17897218421932,21.666862196957158,0.512109987262161,923,110,12,9,3
413,22.24342215431942,21.804278520539768,0.43914363377965177,1003,108,20,19,1
414,22.17202705483234,21.717996277388693,0.4540307774436432,959,138,11,10,1
415,22.208323839206162,21.746598985745184,0.461724853460979,896,121,18,17,1
416,22.18349721759095,21.723847884120538,0.45964933347040815,986,104,24,24,0
417,22.11269163638942,21.614164727101763,0.49852690928765575,983,135,15,12,3
418,22.16083612520842,21.678847816051125,0.48198830915729324,957,118,22,17,5
419,22.12819699711173,21.6367910391009,0.4914059580108299,998,121,17,16,1
420,22.19665988859505,21.720612465960784,0.47604742263426236,904,116,21,19,2
421,22.186955751041303,21.729553954278884,0.4574017967624189,1002,123,22,21,1
422,22.19790053310367,21.746114960451045,0.45178557265262326,979,116,18,16,2
423,22.162708870566785,21.68003814419321,0.4826707263735755,931,128,22,21,1
424,22.222948970808392,21.778848151714435,0.44410081909395527,988,108,19,19,0
425,22.110588010200814,21.60718486586815,0.5034031443326608,960,130,24,21,3
426,22.189725265650175,21.731302223810502,0.4584230418396734,971,117,12,12,0
427,22.156205837526425,21.653445534604657,0.5027603029217739,915,115,16,15,1
428,22.236283950051682,21.740128506140906,0.49615544391077493,913,110,15,12,3
429,22.159372464859747,21.65502232965981,0.5043501351999359,966,110,20,16,4
430,22.208787644310778,21.73770417131745,0.4710834729933311,957,102,16,16,0
431,22.299985963335498,21.853140940307995,0.4468450230274983,902,102,14,12,2
432,22.19617475846007,21.687257368071965,0.5089173903881058,969,112,12,10,2
433,22.220342544081213,21.74578616245846,0.47455638162274877,957,111,14,14,0
434,22.248978460760057,21.782978132536254,0.46600032822380005,959,92,16,14,2
435,22.12017830502617,21.619998497016905,0.5001798080092635,944,126,25,21,4
436,22.29231990008628,21.81755806903482,0.47476183105145686,852,91,12,10,2
437,22.198272799391596,21.733503114833205,0.4647696845583864,911,121,16,16,0
438,22.170022212533404,21.651140309300455,0.518881903232951,979,97,12,9,3
439,22.106209163216803,21.5980207999903,0.5081883632265027,997,121,18,16,2
440,22.159933740433587,21.662857777789753,0.4970759626438339,968,106,19,19,0
441,22.2906794396097,21.823824645511657,0.46685479409804215,970,90,21,17,4
442,22.23745160773412,21.774996249937534,0.46245535779658997,955,114,17,15,2
